27.1,2,4,6,7.881
27.2,2,4,6,7.884
27.3,2,4,6,7.887
27.4,2,4,6,7.89
27.5,2,4,6,7.893
27.6,2,4,6,7.9042
27.7,2,4,6,7.9154
27.8,2,4,6,7.9266
27.9,2,4,6,7.9378
28,2,4,6,7.949
28.1,2,4,6,7.9534
28.2,2,4,6,7.9578
28.3,2,4,6,7.9622
28.4,2,4,6,7.9666
28.5,2,4,6,7.971
28.6,2,4,6,7.9746
28.7,2,4,6,7.9782
28.8,2,4,6,7.9818
28.9,2,4,6,7.9854
29,2,4,6,7.989
29.1,2,4,6,7.9898
29.2,2,4,6,7.9906
29.3,2,4,6,7.9914
29.4,2,4,6,7.9922
29.5,2,4,6,7.993
29.6,2,4,6,7.994
29.7,2,4,6,7.995
29.8,2,4,6,7.996
29.9,2,4,6,7.997
30,2,4,6,7.998
30.1,2,4,6,7.9984
30.2,2,4,6,7.9988
30.3,2,4,6,7.9992
30.4,2,4,6,7.9996
30.5,2,4,6,8
30.6,2,4,6,8
30.7,2,4,6,8
30.8,2,4,6,8
30.9,2,4,6,8
31,2,4,6,8
31.1,2,4,6,8
31.2,2,4,6,8
31.3,2,4,6,8
31.4,2,4,6,8
31.5,2,4,6,8
31.6,2,4,6,8
31.7,2,4,6,8
31.8,2,4,6,8
31.9,2,4,6,8
32,2,4,6,8
